count,source,aggregated_label,"Pew Research Center_known_by_40%","Pew Research Center_total","Pew Research Center_consistently_liberal","Pew Research Center_mostly_liberal","Pew Research Center_mixed","Pew Research Center_mostly conservative","Pew Research Center_consistently conservative","Wikipedia_is_fake","Open Sources_reliable","Open Sources_fake","Open Sources_unreliable","Open Sources_bias","Open Sources_conspiracy","Open Sources_hate","Open Sources_junksci","Open Sources_rumor","Open Sources_blog","Open Sources_clickbait","Open Sources_political","Open Sources_satire","Open Sources_state","Media Bias / Fact Check_label","Media Bias / Fact Check_factual_reporting","Media Bias / Fact Check_extreme_left","Media Bias / Fact Check_right","Media Bias / Fact Check_extreme_right","Media Bias / Fact Check_propaganda","Media Bias / Fact Check_fake_news","Media Bias / Fact Check_some_fake_news","Media Bias / Fact Check_failed_fact_checks","Media Bias / Fact Check_conspiracy","Media Bias / Fact Check_pseudoscience","Media Bias / Fact Check_hate_group","Media Bias / Fact Check_anti_islam","Media Bias / Fact Check_nationalism","Allsides_bias_rating","Allsides_community_agree","Allsides_community_disagree","Allsides_community_label","BuzzFeed_leaning","PolitiFact_Pants on Fire!","PolitiFact_False","PolitiFact_Mostly False","PolitiFact_Half-True","PolitiFact_Mostly True","PolitiFact_True"
352,activistpost,2,,,,,,,,,,,,,1,,,,,,,,,conspiracy_pseudoscience,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,left,,,,,,
1535,bbc,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Center,7527,7177,somewhat agree,,,,,,,
47,bipartisanreport,2,,,,,,,,,,,,2,,,,,,1,,,,questionable_source,,1,0,0,1,0,0,0,0,0,0,0,0,,,,,left,0,1,0,0,0,0
632,breitbart,2,0,0,-1,-1,0,1,1,,,,2,3,,,,,,,1,,,questionable_source,,0,0,1,1,0,0,1,1,0,0,0,0,Right,11911,6546,agree,right,2,2,0,0,1,0
139,businessinsider,0,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Center,1561,1665,somewhat disagree,,,,,,,
109,buzzfeed,1,0,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,left_center_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Lean Left,3062,4197,somewhat disagree,,1,0,0,0,0,0
655,cbsnews,0,1,1,1,1,1,0,-1,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Lean Left,4320,3857,somewhat agree,,,,,,,
165,cnbc,0,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Center,1320,3388,strongly disagree,,,,,,,
746,cnn,1,1,1,1,1,1,0,-1,,,,,,,,,,,,,,,left_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Lean Left,23421,24137,somewhat disagree,,0,0,1,0,0,0
132,dailykos,1,0,-1,1,0,-1,-1,-1,,,,,,,,,,,2,1,,,left_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Left,3796,1525,strongly agree,left,,,,,,
274,dailymail,2,,,,,,,,,,,,,,,,,,,,,,questionable_source,,0,1,0,1,0,1,0,1,0,0,0,0,Right,990,885,somewhat agree,,0,0,1,0,0,0
1584,drudgereport,1,0,0,-1,-1,0,1,1,,,,,2,,,,,,,1,,,right_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Lean Right,1631,994,agree,right,2,0,0,0,0,0
353,foxnews,1,1,1,-1,-1,1,1,1,,,,,,,,,,,,,,,right_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Lean Right,18007,27420,disagree,right,0,0,1,1,0,0
53,fusion,1,,,,,,,,,2,,,,,,,,,,1,,,left_center_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
5,humortimes,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
67,infowars,2,,,,,,,,1,,,,,1,,,,,,,,,conspiracy_pseudoscience,1,0,0,0,0,0,0,0,0,0,0,0,0,Right,3579,782,absolutely agree,right,2,1,0,1,0,0
29,intellihub,2,,,,,,,,,,,2,,1,,,,,,,,,conspiracy_pseudoscience,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
174,motherjones,0,0,0,1,1,0,-1,-1,,,,,,,,,,,,,,,left_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Left,3008,673,absolutely agree,left,,,,,,
309,nationalreview,1,,,,,,,,,,,,,,,,,,,1,,,right_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Right,6809,3300,strongly agree,right,0,0,0,0,0,1
1109,naturalnews,2,,,,,,,,1,,,,,2,,1,,,,,,,conspiracy_pseudoscience,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
9,newsbiscuit,,,,,,,,,,,,,,,,,,,,,1,,satire,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
518,newsbusters,1,,,,,,,,,,,,,,,,,,,,,,right_bias,3,0,0,0,0,0,1,1,0,0,0,0,0,Right,326,193,agree,right,1,1,1,0,0,0
362,newyorkpost,1,,,,,,,,,,,,,,,,,,,,,,right_center_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Right,2077,1521,somewhat agree,,0,0,1,0,0,0
839,npr,0,1,1,1,1,1,0,-1,,,,,,,,,,,,,,,left_center_bias,5,0,0,0,0,0,0,0,0,0,0,0,0,Center,16185,11099,somewhat agree,,,,,,,
56,palmerreport,1,,,,,,,,,,,,1,,,,,,,,,,left_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,left,,,,,,
361,pbs,0,1,1,1,1,1,0,-1,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Center,1714,1212,somewhat agree,,,,,,,
187,politicususa,1,,,,,,,,,,,2,,,,,,,1,,,,left_bias,3,0,0,0,0,0,0,1,0,0,0,0,0,Left,702,217,absolutely agree,left,,,,,,
239,redstate,1,,,,,,,,,,,,,,,,,,2,1,,,right_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Right,517,159,absolutely agree,right,,,,,,
203,rt,2,,,,,,,,,,,,,,,,,,,,,1,questionable_source,1,0,0,0,1,0,1,1,1,0,0,0,0,,,,,,,,,,,
156,shareblue,1,,,,,,,,,,,1,3,,,,,,,2,,,left_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,left,,,,,,
276,slate,0,0,0,1,1,0,-1,-1,,,,,,,,,,,,,,,left_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Left,1806,1861,somewhat disagree,,,,,,,
132,talkingpointsmemo,0,,,,,,,,,,,,,,,,,,,,,,left_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,left,,,,,,
74,theatlantic,0,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Lean Left,2777,1806,agree,,,,,,,
18,thebeaverton,,,,,,,,,,,,,,,,,,,,,1,,satire,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,2,0,0,0,0
185,theblaze,1,0,1,-1,-1,0,1,1,,,,,,,,,,,2,1,,,right_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,right,,,,,,
684,thedailycaller,1,,,,,,,,,,,,3,,,,,,2,1,,,right_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Right,3031,1904,agree,right,0,2,0,0,0,0
100,theduran,2,,,,,,,,,,,1,,,,,,,,,,,questionable_source,,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
39,thefiscaltimes,0,,,,,,,,,,,,,,,,,,,,,,right_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Lean Right,616,470,somewhat agree,,,,,,,
40,thegatewaypundit,2,,,,,,,,,,,3,1,2,,,,,,,,,questionable_source,,0,0,1,1,0,1,0,1,0,0,0,1,Right,371,236,agree,right,0,1,0,0,1,1
507,theguardian,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Lean Left,4434,2667,agree,,,,,,,
257,thehill,0,,,,,,,,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Center,5463,6852,somewhat disagree,,,,,,,
766,thehuffingtonpost,0,1,0,1,1,0,-1,-1,,,,,,,,,,,,,,,left_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Left,15600,18254,somewhat disagree,,,,,,,
545,thenewyorktimes,0,1,1,1,1,1,-1,-1,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Lean Left,12636,21896,disagree,,0,0,1,0,0,0
169,thepoliticalinsider,1,,,,,,,,,,,3,2,1,,,,,,,,,right_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,right,1,0,0,0,0,0
43,therightscoop,1,,,,,,,,,,1,,,,,,,,2,,,,right_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,right,,,,,,
8,thespoof,,,,,,,,,,,,,,,,,,,,,1,,satire,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
683,truepundit,2,,,,,,,,,,,,1,,,,,,2,,,,conspiracy_pseudoscience,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,right,1,0,0,0,0,0
512,usatoday,0,1,1,1,1,1,1,-1,,,,,,,,,,,,,,,left_center_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Center,10753,7745,somewhat agree,,,,,,,
151,veteranstoday,2,,,,,,,,,,,2,1,,,,,,,,,,conspiracy_pseudoscience,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
690,vox,0,,,,,,,,,,,,,,,,,,,,,,left_bias,4,0,0,0,0,0,0,0,0,0,0,0,0,Left,7902,10930,somewhat disagree,,,,,,,
358,wakingtimes,2,,,,,,,,,,,,,,,1,,,,,,,conspiracy_pseudoscience,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
308,yahoonews,0,1,1,1,1,0,0,-1,,,,,,,,,,,,,,,left_center_bias,3,0,0,0,0,0,0,0,0,0,0,0,0,Left,1190,1137,somewhat agree,,,,,,,
